year,reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,uncomtrade_id
1989,Algeria,SITC Rev.2,DZD,Import,0.131116,Special,CIF,Origin,12
1989,Algeria,SITC Rev.2,DZD,Export,0.13112,Special,FOB,Last Known Destination,12
1989,Argentina,SITC Rev.2,USD,Import,1,Special,CIF,Origin,32
1989,Argentina,SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,32
1989,Aruba,SITC Rev.1,AWG,Import,0.55866,General,CIF,Origin,533
1989,Aruba,SITC Rev.1,AWG,Export,0.55866,General,FOB,Last Known Destination,533
1989,Australia,HS1992,AUD,Import,0.77359,General,FOB,Origin,36
1989,Australia,HS1992,AUD,Export,0.78149,General,FOB,Last Known Destination,36
1989,Austria,SITC Rev.3,ATS,Import,0.075528,Special,CIF,Origin,40
1989,Austria,SITC Rev.3,ATS,Export,0.07553,Special,FOB,Last Known Destination,40
1989,Bahrain,SITC Rev.1,BHD,Import,2.65958,General,CIF,Origin,48
1989,Bahrain,SITC Rev.1,BHD,Export,2.65958,General,FOB,Last Known Destination,48
1989,Bangladesh,HS1992,BDT,Import,0.03108,General,CIF,Origin,50
1989,Bangladesh,HS1992,BDT,Export,0.03111,General,FOB,Last Known Destination,50
1989,Barbados,SITC Rev.2,XCD,Import,0.497191,General,CIF,Origin,52
1989,Barbados,SITC Rev.2,XCD,Export,0.49719,General,FOB,Last Known Destination,52
1989,Belgium-Luxembourg,SITC Rev.3,BEF,Import,0.25693,Special,CIF,Origin,58
1989,Belgium-Luxembourg,SITC Rev.3,BEF,Export,0.257,Special,FOB,Last Known Destination,58
1989,Belize,SITC Rev.1,BZD,Import,0.5,General,CIF,Origin,84
1989,Belize,SITC Rev.1,BZD,Export,0.5,General,FOB,Last Known Destination,84
1989,Bermuda,SITC Rev.1,BMD,Import,NA,NULL,NULL,NA,60
1989,Bermuda,SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60
1989,Bolivia ,SITC Rev.2,USD,Import,1,Special,CIF,Origin,68
1989,Bolivia ,SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68
1989,Brazil,HS1992,USD,Import,1,Special,CIF,Purchase,76
1989,Brazil,HS1992,USD,Export,1,Special,FOB,Last Known Destination,76
1989,Brunei Darussalam,SITC Rev.2,BND,Import,0.512742,General,CIF,Origin,96
1989,Brunei Darussalam,SITC Rev.2,BND,Export,0.51274,General,FOB,Last Known Destination,96
1989,Cameroon,SITC Rev.2,XOF,Import,0.003135,Special,CIF,Origin,120
1989,Cameroon,SITC Rev.2,XOF,Export,0.00313,Special,FOB,Last Known Destination,120
1989,Canada,HS1992,CAD,Import,0.844429,General,FOB,Consignment,124
1989,Canada,HS1992,CAD,Export,0.844625,General,FOB,Consignment,124
1989,Central African Rep.,SITC Rev.2,XOF,Import,0.31347,Special,CIF,Origin,140
1989,Central African Rep.,SITC Rev.2,XOF,Export,0.31347,Special,FOB,Last Known Destination,140
1989,Chile,SITC Rev.2,USD,Import,1,Special,CIF,Purchase,152
1989,Chile,SITC Rev.2,USD,Export,1,Special,FOB,Sale,152
1989,China,SITC Rev.2,USD,Import,1,Special,CIF,Origin,156
1989,China,SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,156
1989,"China, Hong Kong SAR",SITC Rev.2,HKD,Import,0.128209,General,CIF,Consignment,344
1989,"China, Hong Kong SAR",SITC Rev.2,HKD,Export,0.1282,General,FOB,Last Known Destination,344
1989,"China, Macao SAR",SITC Rev.3,MOP,Import,0.124461,General,CIF,Origin,446
1989,"China, Macao SAR",SITC Rev.3,MOP,Export,0.12445,General,FOB,Last Known Destination,446
1989,Colombia,SITC Rev.2,USD,Import,1,Special,CIF,Purchase,170
1989,Colombia,SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,170
1989,Djibouti,SITC Rev.2,DJF,Import,0.005627,Special,CIF,Origin,262
1989,Djibouti,SITC Rev.2,DJF,Export,0.005627,Special,FOB,Last Known Destination,262
1989,Egypt,SITC Rev.2,EGP,Import,0.448016,Special,CIF,Consignment,818
1989,Egypt,SITC Rev.2,EGP,Export,0.461719,Special,FOB,Last Known Destination,818
1989,Malawi,SITC Rev.2,MWK,Import,0.36296,General,CIF,Origin,454
1989,Malawi,SITC Rev.2,MWK,Export,0.35987,General,FOB,Last Known Destination,454
1989,Mauritius,SITC Rev.3,MUR,Import,0.06557,General,CIF,Consignment,480
1989,Mauritius,SITC Rev.3,MUR,Export,0.06557,General,FOB,Last Known Destination,480
1989,Seychelles,SITC Rev.2,SCR,Import,0.177036,General,CIF,Origin,690
1989,Seychelles,SITC Rev.2,SCR,Export,0.176869,General,FOB,Last Known Destination,690
1989,Costa Rica,SITC Rev.2,USD,Import,1,Special,CIF,Consignment,188
1989,Costa Rica,SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,188
1989,Cuba,SITC Rev.3,USD,Import,1,General,CIF,Purchase,192
1989,Cuba,SITC Rev.3,USD,Export,1,NULL,NULL,NA,192
1989,Cyprus,HS1992,CYP,Import,2.01762,General,CIF,Consignment,196
1989,Cyprus,HS1992,CYP,Export,2.01767,General,FOB,Last Known Destination,196
